Country Name	CountryCode	Users2010	Users2011
Afghanistan	AFG	3.65	4.58
Albania	ALB	45.00	49.00
Algeria	DZA	12.50	14.00
Andorra	AND	81.00	81.00
Angola	AGO	10.00	14.78
Antigua and Barbuda	ATG	80.00	82.00
Argentina	ARG	40.00	47.70
Aruba	ABW	42.00	57.07
Australia	AUS	75.89	78.95
Austria	AUT	75.20	79.75
Azerbaijan	AZE	46.68	50.75
"Bahamas, The"	BHS	43.00	65.00
Bahrain	BHR	55.00	77.00
Bangladesh	BGD	3.70	5.00
Barbados	BRB	70.20	71.77
Belarus	BLR	32.15	39.96
Belgium	BEL	73.74	76.20
Benin	BEN	3.13	3.50
Bermuda	BMU	85.13	88.85
Bhutan	BTN	13.60	21.00
Bolivia	BOL	22.40	30.00
Bosnia and Herzegovina	BIH	52.00	60.00
Botswana	BWA	6.00	7.00
Brazil	BRA	40.65	45.00
Brunei Darussalam	BRN	53.00	56.00
Bulgaria	BGR	45.98	50.80
Burkina Faso	BFA	2.40	3.00
Burundi	BDI	1.00	1.11
Cambodia	KHM	1.26	3.10
Cameroon	CMR	4.30	5.00
Canada	CAN	80.04	82.68
Cape Verde	CPV	30.00	32.00
Cayman Islands	CYM	66.00	69.47
Central African Republic	CAF	2.00	2.20
Chad	TCD	1.70	1.90
Chile	CHL	45.00	53.89
China	CHN	34.39	38.40
Colombia	COL	36.50	40.40
Comoros	COM	5.10	5.50
"Congo, Dem. Rep."	COD	0.72	1.20
"Congo, Rep."	COG	5.00	5.60
Costa Rica	CRI	36.50	42.12
Cote d'Ivoire	CIV	2.10	2.20
Croatia	HRV	60.12	70.53
Cuba	CUB	15.90	23.23
Cyprus	CYP	52.99	57.68
Czech Republic	CZE	68.64	72.89
Denmark	DNK	88.76	89.98
Djibouti	DJI	6.50	7.00
Dominica	DMA	47.45	51.31
Dominican Republic	DOM	31.40	35.50
Ecuador	ECU	29.03	31.40
"Egypt, Arab Rep."	EGY	30.20	35.62
El Salvador	SLV	15.90	17.69
Eritrea	ERI	5.40	6.20
Estonia	EST	74.15	76.53
Ethiopia	ETH	0.75	1.10
Faeroe Islands	FRO	75.20	80.73
Fiji	FJI	20.00	28.00
Finland	FIN	86.91	89.33
France	FRA	77.28	76.77
French Polynesia	PYF	49.00	49.00
Gabon	GAB	7.23	8.00
"Gambia, The"	GMB	9.20	10.87
Georgia	GEO	26.29	35.28
Germany	DEU	82.53	83.44
Ghana	GHA	9.55	14.11
Greece	GRC	44.57	53.40
Greenland	GRL	63.85	64.62
Guatemala	GTM	10.50	11.73
Guinea	GIN	1.00	1.30
Guinea-Bissau	GNB	2.45	2.67
Guyana	GUY	29.90	32.00
Honduras	HND	11.09	15.90
"Hong Kong SAR, China"	HKG	71.85	75.03
Hungary	HUN	52.91	58.97
Iceland	ISL	95.63	96.62
India	IND	7.50	10.07
Indonesia	IDN	10.92	18.00
"Iran, Islamic Rep."	IRN	16.00	21.00
Iraq	IRQ	2.47	4.95
Ireland	IRL	69.78	77.48
Israel	ISR	65.68	68.17
Italy	ITA	53.74	56.82
Jamaica	JAM	28.07	31.99
Japan	JPN	77.65	78.71
Jordan	JOR	27.83	35.74
Kazakhstan	KAZ	31.03	44.04
Kenya	KEN	14.00	28.00
Kiribati	KIR	9.07	10.00
"Korea, Rep."	KOR	81.62	81.46
Kuwait	KWT	61.40	74.20
Kyrgyz Republic	KGZ	18.02	19.58
Lao PDR	LAO	7.00	9.00
Latvia	LVA	68.82	72.43
Lebanon	LBN	43.68	52.00
Lesotho	LSO	3.86	4.22
Liberia	LBR	2.30	3.00
Libya	LBY	14.00	17.00
Liechtenstein	LIE	80.00	85.00
Lithuania	LTU	62.82	67.17
Luxembourg	LUX	90.71	90.70
"Macao SAR, China"	MAC	53.80	58.00
"Macedonia, FYR"	MKD	51.90	56.70
Madagascar	MDG	1.70	1.90
Malawi	MWI	2.26	3.33
Malaysia	MYS	56.30	61.00
Maldives	MDV	28.30	34.00
Mali	MLI	1.90	2.00
Malta	MLT	63.08	69.03
Mauritania	MRT	4.00	4.50
Mauritius	MUS	28.73	35.51
Mexico	MEX	31.05	36.15
Moldova	MDA	32.40	37.85
Mongolia	MNG	12.90	20.00
Montenegro	MNE	37.50	40.00
Morocco	MAR	49.00	51.00
Mozambique	MOZ	4.17	4.30
Myanmar	MMR	0.25	0.98
Namibia	NAM	11.60	12.00
Nepal	NPL	7.93	9.00
Netherlands	NLD	90.71	92.13
New Caledonia	NCL	42.66	51.17
New Zealand	NZL	83.01	86.18
Nicaragua	NIC	10.00	10.60
Niger	NER	0.83	1.30
Nigeria	NGA	24.00	28.43
Norway	NOR	93.27	93.45
Oman	OMN	62.00	68.00
Pakistan	PAK	8.00	9.00
Panama	PAN	40.10	42.70
Papua New Guinea	PNG	1.28	2.00
Paraguay	PRY	19.80	23.90
Peru	PER	34.77	36.50
Philippines	PHL	25.00	29.00
Poland	POL	62.47	65.02
Portugal	PRT	51.28	55.57
Puerto Rico	PRI	45.63	48.50
Qatar	QAT	81.60	86.20
Romania	ROU	40.02	44.12
Russian Federation	RUS	43.31	49.31
Rwanda	RWA	8.00	7.00
Sao Tome and Principe	STP	18.75	20.16
Saudi Arabia	SAU	41.00	47.50
Senegal	SEN	16.00	17.50
Serbia	SRB	45.56	47.19
Seychelles	SYC	41.00	43.61
Singapore	SGP	71.14	75.06
Slovak Republic	SVK	76.16	74.87
Slovenia	SVN	69.35	71.40
Solomon Islands	SLB	5.00	6.00
South Africa	ZAF	18.05	20.95
Spain	ESP	65.81	67.92
Sri Lanka	LKA	12.12	15.13
St. Lucia	LCA	40.06	42.01
St. Vincent and the Grenadines	VCT	38.50	43.01
Suriname	SUR	31.59	32.00
Swaziland	SWZ	12.41	20.43
Sweden	SWE	90.01	90.88
Switzerland	CHE	82.17	82.99
Syrian Arab Republic	SYR	20.66	22.44
Tajikistan	TJK	11.55	13.03
Tanzania	TZA	11.00	12.00
Thailand	THA	22.40	23.70
Timor-Leste	TLS	0.21	0.88
Togo	TGO	3.00	3.50
Tonga	TON	16.00	25.00
Trinidad and Tobago	TTO	48.50	55.20
Tunisia	TUN	36.56	38.81
Turkey	TUR	39.82	42.10
Turkmenistan	TKM	3.00	5.00
Tuvalu	TUV	25.00	30.00
Uganda	UGA	12.50	13.01
Ukraine	UKR	23.09	30.25
United Arab Emirates	ARE	68.00	70.00
United Kingdom	GBR	77.75	81.71
United States	USA	74.25	78.24
Uruguay	URY	46.57	51.57
Uzbekistan	UZB	19.22	28.57
"Venezuela, RB"	VEN	37.56	40.44
Vietnam	VNM	30.97	35.45
West Bank and Gaza	PSE	43.44	56.82
"Yemen, Rep."	YEM	12.35	14.91
Zambia	ZMB	10.13	11.50
Zimbabwe	ZWE	11.50	15.70
