School	In08	In11	Out08	Out11
Arizona	5542	9286	18676	25496
Buffalo	6285	7482	12545	16932
Cal-Berkeley	7656	12834	28264	35712
Cal-Davis	8635	13860	29243	36738
Cal-Irvine	8046	13122	28654	36000
Cal-San Diego	8062	13200	28673	36078
Colorado	7278	9152	26756	30330
Florida	3778	5657	20623	27934
Georgia Tech	6040	9652	25182	27862
Illinois	12106	13838	25890	27980
Indiana	8231	9524	24769	29540
Iowa	6544	7765	20658	25099
Iowa State	6360	7486	17350	19358
Kansas	7042	9222	17119	22608
Maryland	8005	8655	23075	26026
Michigan	11738	12634	33069	37782
Michigan State	10214	12202	25672	31148
Minnesota	10756	13022	14756	18022
Missouri	8467	8989	19588	21784
Nebraska	6584	7563	17204	19848
North Carolina	5397	7009	22295	26834
Ohio State	8679	9735	21918	24630
Oregon	6435	8789	19992	27653
Penn State	13706	15984	24940	28066
Pittsburgh	13642	16132	23290	25540
Purdue	7750	9478	23224	27646
Rutgers	11540	12754	21488	25416
Texas	8532	9794	27760	32506
Texas A&M	7844	8421	22184	23811
UCLA	7551	12686	27572	35564
Virginia	9300	11786	29600	36780
Washington	6802	10574	23219	28058
Wisconsin	7564	9665	21814	25415
