	Control	Runners
Female	159	119
	183	84
	140	89
	140	119
	125	127
	155	111
	148	115
	132	109
	158	111
	136	120
	154	105
	169	104
	147	94
	183	126
	167	113
	151	141
	166	116
	134	104
	131	82
	164	164
	164	119
	169	110
	127	109
	126	106
	141	125
	163	106
	152	108
	150	122
	151	145
	162	115
	148	110
	162	92
	136	114
	134	121
	133	123
	110	128
	168	126
	140	119
	191	119
	137	121
	144	115
	163	118
	145	106
	149	128
	148	95
	141	126
	142	112
	145	118
	166	95
	162	114
	111	109
	150	136
	175	129
	162	139
	151	150
	142	112
	127	127
	160	126
	138	107
	141	117
	154	96
	175	135
	168	116
	173	111
	151	129
	139	130
	144	109
	145	100
	175	118
	147	133
	143	122
	105	144
	182	151
	157	89
	135	128
	150	140
	146	94
	151	126
	143	142
	162	121
	161	125
	155	116
	154	107
	176	126
	152	95
	135	134
	118	100
	132	95
	166	144
	143	108
	131	114
	136	121
	168	105
	148	78
	139	102
	132	118
	155	137
	145	122
	125	106
	153	139
	156	114
	145	110
	121	128
	126	98
	140	100
	143	99
	145	103
	146	122
	163	115
	162	123
	154	107
	151	106
	138	113
	156	134
	152	126
	163	149
	160	147
	130	120
	166	141
	177	124
	148	116
	170	112
	169	132
	131	97
	168	80
	161	128
	132	106
	135	109
	144	100
	152	128
	154	128
	136	95
	144	115
	162	103
	136	98
	115	85
	108	113
	167	123
	133	102
	118	126
	160	106
	160	105
	137	132
	137	109
	143	131
	140	105
	145	108
	134	122
	142	128
	146	132
	142	85
	164	116
	164	88
	196	134
	154	126
	143	87
	143	109
	127	107
	146	121
	136	138
	135	117
	157	121
	165	112
	173	119
	157	106
	155	126
	138	86
	146	108
	147	124
	138	122
	123	94
	170	146
	165	111
	151	100
	166	141
	142	122
	114	117
	107	120
	170	106
	150	123
	142	139
	143	100
	132	150
	125	111
	152	108
	132	97
	136	124
	153	147
	159	102
	160	98
	140	128
	142	92
	150	124
	125	111
	124	135
	136	140
	157	117
	152	94
	129	111
	169	88
Male	127	100
	99	120
	157	93
	102	107
	97	138
	122	96
	128	107
	136	119
	142	99
	127	102
	127	87
	157	88
	125	80
	113	120
	131	104
	114	110
	143	127
	133	112
	143	96
	128	87
	137	94
	143	81
	134	116
	107	102
	137	102
	153	98
	95	97
	144	103
	134	97
	129	101
	131	86
	152	92
	109	119
	95	121
	96	103
	134	98
	131	132
	128	93
	115	105
	125	116
	156	93
	134	114
	102	97
	161	128
	130	98
	169	107
	91	105
	146	95
	115	104
	120	86
	97	102
	131	95
	152	83
	118	78
	112	96
	77	110
	123	101
	122	107
	135	113
	90	98
	119	91
	124	92
	133	113
	153	88
	112	97
	128	96
	112	112
	128	130
	155	105
	123	97
	116	90
	138	124
	124	117
	155	99
	96	102
	149	97
	128	108
	115	125
	105	107
	157	108
	124	103
	125	108
	150	123
	139	127
	125	102
	139	114
	137	109
	128	116
	115	95
	114	102
	145	125
	143	103
	133	121
	114	89
	109	111
	108	98
	145	101
	140	99
	128	108
	129	100
	130	102
	152	120
	110	98
	106	108
	130	94
	113	85
	129	106
	161	126
	143	129
	164	118
	134	93
	122	105
	138	100
	125	100
	134	98
	149	116
	126	109
	124	100
	136	127
	137	80
	125	109
	130	98
	172	97
	162	126
	130	82
	127	99
	128	90
	115	94
	143	112
	121	114
	153	106
	119	114
	143	96
	132	93
	108	111
	125	110
	133	115
	119	102
	126	103
	146	116
	150	115
	133	95
	115	103
	157	112
	158	127
	102	119
	117	118
	138	104
	138	114
	146	96
	127	126
	116	104
	140	87
	150	104
	114	105
	134	104
	168	94
	143	79
	158	109
	151	99
	142	83
	129	106
	121	109
	118	118
	136	106
	134	95
	119	102
	144	91
	132	88
	124	93
	95	119
	120	109
	118	111
	133	146
	107	99
	130	92
	139	117
	120	115
	131	103
	149	98
	150	83
	115	87
	142	109
	154	96
	129	111
	134	97
	131	96
	134	101
	108	93
	144	119
	120	103
	127	69
	160	104
	152	117
	137	95
	109	92
	121	100
	135	112
	134	97
	127	89
