Ticket	Price
1	195
2	195
3	195
4	195
5	195
6	195
7	200
8	200
9	235
10	235
11	265
12	265
13	265
14	265
15	265
16	265
17	265
18	265
19	265
20	265
21	265
22	265
23	265
24	265
25	265
26	265
27	265
28	265
29	265
30	265
31	265
32	265
33	265
34	265
35	265
36	265
37	265
38	265
39	265
40	265
41	265
42	265
43	265
44	265
45	265
46	265
47	265
48	265
49	265
50	265
51	265
52	265
53	265
54	265
55	265
56	265
57	265
58	265
59	265
60	265
61	265
62	295
63	295
64	295
65	295
66	295
67	295
68	295
69	295
70	295
71	295
72	295
73	295
74	295
75	295
76	295
77	295
78	295
79	295
80	295
81	295
82	295
83	295
84	295
85	295
86	295
87	295
88	324
89	324
90	324
91	324
92	324
93	324
94	324
95	324
96	324
97	324
98	324
99	324
100	324
101	324
102	324
103	324
104	324
105	324
106	353
107	353
108	353
109	353
110	353
111	353
112	353
113	353
114	353
115	353
116	383
117	383
118	383
119	383
120	383
121	383
122	383
123	383
124	530
125	530
126	530
127	530
128	530
129	530
130	530
131	530
132	530
133	530
134	530
135	530
136	530
137	589
138	589
139	589
140	589
141	589
142	589
143	589
144	589
145	589
146	589
147	589
148	589
149	589
150	589
151	589
152	589
153	589
154	589
155	648
156	648
157	648
158	648
159	648
160	648
161	648
162	648
163	648
164	648
165	648
166	706
167	706
168	706
169	706
170	706
171	706
172	706
173	706
174	706
175	706
176	706
177	706
178	1000
179	1144
180	1144
181	1144
182	1144
183	1144
184	1144
185	1144
186	1144
