State	UG1970	UG1980	UG1990	UG2000	UG2006	UG2007	UG2008	UG2009	UG2010	UG2011
Alabama	103936	164306	218589	233962	258408	268183	310941	311740	327327	318686
Alaska	9471	21296	29833	27953	29853	30616	30717	32406	33653	34932
Arizona	109619	202716	264148	342490	567192	624147	704245	828631	795388	796986
Arkansas	52039	77607	90425	115172	147391	152168	158374	168352	175895	179281
California	1257245	1790993	1808740	2256708	2434774	2529522	2652241	2735579	2714172	2685893
Colorado	123395	162916	227131	263872	308383	310637	325232	352034	372025	365820
Connecticut	124700	159632	168604	161243	176716	179005	184178	191806	199384	201638
Delaware	25260	32939	42004	43897	51238	52343	53088	55174	55731	56516
Florida	235525	411891	588086	707684	885651	913793	972699	1053221	1125469	1143698
Georgia	126511	184159	251786	346204	435403	453711	476581	532493	568723	565459
Hawaii	36562	47181	56436	60182	66893	66601	70104	74809	78073	79018
Idaho	34567	43018	51881	65594	77872	78846	80456	84450	85201	90142
Illinois	452146	644245	729246	743918	830676	837018	859242	900824	906889	892881
Indiana	192668	247253	284832	314334	368013	380477	401956	441294	459423	457824
Iowa	108902	140449	170515	188974	238634	256259	286891	350631	381842	372146
Kansas	102485	136605	163733	179968	193146	194102	198991	210843	214859	216662
Kentucky	98591	143066	177852	188341	248914	258213	257583	277907	291102	293766
Louisiana	120728	160058	186840	223800	224147	224754	236375	251853	263638	265856
Maine	34134	43264	57186	58473	66149	67173	67796	70170	72985	72297
Maryland	149607	225526	259700	273745	319460	327597	338914	358941	377967	380097
Massachusetts	303809	418415	417833	421142	451526	463366	477056	497290	508302	508554
Michigan	392726	520131	569803	567631	634489	643279	652799	686049	698125	685526
Minnesota	160788	206691	253789	293445	375899	392393	411055	442281	465336	457752
Mississippi	73967	102364	122883	137389	151137	155232	160441	173136	178197	179090
Missouri	183930	234421	289899	321348	377098	384366	396409	424944	444695	456997
Montana	30062	35177	35876	42240	47501	47371	47840	51588	53312	54042
Nebraska	66915	89488	112831	112117	124500	127378	130458	138645	144682	142875
Nevada	13669	40455	61728	87893	112270	116276	120490	125320	129360	121013
New Hampshire	29400	46794	59510	61718	70669	70724	71739	74234	75594	77444
New Jersey	216121	321610	324286	335945	385656	398136	410160	432127	444091	443750
New Mexico	44461	58283	85500	110739	131828	134375	142413	152752	162652	157555
New York	806479	992237	1048286	1043395	1160364	1172811	1234858	1289604	1305595	1318142
North Carolina	171925	287537	352138	404652	495633	502330	528977	568865	586042	585013
North Dakota	31495	34069	37878	40248	49519	49945	51327	54433	56903	55772
Ohio	376267	489145	557690	549553	619942	630497	653585	711095	744947	735026
Oklahoma	110155	160295	173221	178016	206236	206382	206757	220650	230573	230154
Oregon	122177	157458	165741	183065	197594	202928	220474	243412	250331	259061
Pennsylvania	411044	507716	604060	609521	707132	725397	740288	778123	803593	787789
Rhode Island	45898	66869	78273	75450	81734	82900	83893	84673	85110	84644
South Carolina	69518	132476	159302	185931	212422	217755	230695	246667	257293	260002
South Dakota	30639	32761	34208	43221	48931	49747	50444	53342	58370	55899
Tennessee	135103	204581	226238	263910	290530	297785	307610	332918	351988	350275
Texas	442225	701391	901437	1033973	1252709	1269098	1327148	1447868	1536858	1564387
Utah	81687	93987	121303	163776	202151	203679	217224	236590	252107	264396
Vermont	22209	30628	36398	35489	41095	42191	42946	44975	45572	45143
Virginia	151915	280504	353442	381893	456172	478268	500796	545036	576010	588465
Washington	183544	303603	263384	320840	348154	352075	362535	382532	388110	372841
West Virginia	63153	81973	84790	87888	100519	116848	125333	142484	152431	162308
Wisconsin	202058	269086	299774	307179	340158	343747	352875	373228	383986	376603
Wyoming	15220	21147	31326	30004	34693	35246	35936	37093	38298	38092
