State	Age18_24	Age25_34	Age35_44	Age45_54	Age55_64	Age65orMore	Female	EdLtHS	EdHSGED	EdHSPlus	EdCollege	HealthExcell	HealthVGood	HealthGood	HealthFair	HealthPoor	SmokeEveryDay	SmokeSomeDays	SmokeFormer	SmokeNever	AlcoholAny	AlcoholBinge	FruitVeg5
Alabama	13.0	17.1	17.0	18.4	15.8	18.8	52.3	18.9	31.7	29.7	19.7	16.6	28.3	31.9	15.6	7.6	18.6	5.8	25.1	50.6	41.3	13.7	20.3
Alaska	14.6	20.7	17.5	20.1	16.1	11.1	48.2	10.7	29.0	36.7	23.7	20.3	31.7	32.5	10.8	4.7	15.9	7.0	27.9	49.1	58.2	20.8	23.4
Arizona	12.5	19.2	17.8	17.5	14.7	18.3	50.4	15.8	26.0	34.5	23.7	19.9	30.2	32.5	12.5	4.9	13.1	6.2	24.9	55.9	56.2	17.6	24.1
Arkansas	12.6	17.7	16.6	17.9	15.7	19.5	51.7	18.1	35.3	29.2	17.4	15.4	26.8	33.0	17.1	7.9	20.1	6.8	25.1	48.0	42.1	14.1	20.4
California	13.4	19.3	18.7	18.7	14.4	15.5	50.4	19.1	22.7	31.2	27.0	21.5	30.7	29.1	14.6	4.1	8.6	5.0	23.9	62.5	57.1	18.6	27.7
Colorado	12.7	18.2	18.7	19.6	15.9	14.9	49.9	11.5	24.2	31.7	32.6	21.6	35.2	29.4	10.6	3.2	12.3	6.0	27.2	54.6	64.3	20.1	24.8
Connecticut	12.3	15.2	17.3	20.5	16.2	18.6	51.9	11.8	28.7	27.0	32.5	22.8	33.5	28.9	11.1	3.7	11.8	5.3	27.8	55.1	64.3	17.9	28.3
Delaware	12.1	16.8	17.0	18.9	16.0	19.3	52.3	13.5	32.2	29.0	25.3	18.0	35.2	32.1	11.1	3.6	16.3	5.5	28.3	50.0	59.5	20.3	25.0
District of Columbia	13.9	23.0	17.9	16.2	14.0	15.1	53.7	13.5	20.2	21.1	45.2	26.8	32.4	27.1	10.2	3.6	12.8	8.0	22.0	57.2	67.4	25.0	31.5
Florida	11.3	16.2	16.4	18.0	15.5	22.6	51.4	15.2	30.6	30.5	23.8	19.5	29.1	30.8	14.7	6.0	13.5	5.8	28.0	52.8	56.9	17.1	24.4
