Rank	Brand	Value
1	Coca Cola	77839
2	Apple	76568
3	IBM	75532
4	Google	69726
5	Microsoft	57853
6	GE	43682
7	McDonalds	40062
8	Intel	39385
9	Samsung	32893
10	Toyota	30280
11	Mercedes-Benz	30097
12	BMW	29052
13	Disney	27438
14	Cisco	27197
15	HP	26087
16	Gilette	24898
17	Louis Vuitton	23577
18	Oracle	22126
19	Nokia	21009
20	Amazon 	18625
21	Honda	17280
22	Pepsi	16594
23	H&M	16571
24	American Express	15702
25	SAP	15641
26	Nike	15226
27	UPS	13088
28	IKEA	12808
29	Kellog's	12068
30	Canon	12029
31	Budweiser	11872
32	J.P. Morgan	11471
33	HSBC	11378
34	Pampers	11296
35	Nescafe	11089
36	eBay	10947
37	Zara	9488
38	Gucci	9446
39	Volkswagon	9252
40	Sony	9111
41	Philips	9066
42	L'Oreal	8821
43	Accenture	8745
44	Thomas Reuters	8444
45	Ford	7958
46	Heinz	7722
47	Colgate	7643
48	Goldman Sachs	5799
49	Dell	7591
50	Citi	7570
51	Siemens	7534
52	Danone	7498
53	Hundai	7473
54	Morgan Stanley	7218
55	Audi	7196
56	Nintendo	7082
57	Nestle	6916
58	AXA	6748
59	Xerox	6714
60	Adidas	6699
61	Caterpillar	6306
62	Allianz	6184
63	Hermes	6182
64	KFC	5994
65	Panasonic	5765
66	Sprite	5709
67	MTV	5648
68	Cartier	5495
69	Facebook	5421
70	Tiffany & Co.	5159
71	Avon	5151
72	Porsche	5149
73	Nissan	4969
74	Visa	4955
75	Shell	4788
76	Santander	4771
77	3M	4656
78	Adobe	4557
79	Johnson & Johnson	4378
80	Kleenex	4360
81	Jack Daniel's	4352
82	Burberry	4342
83	Johnnie Walker	4301
84	Prada	4271
85	John Deere	4221
86	Pizza Hut	4193
87	Kia	4089
88	Starbucks  	4062
89	Corona	4061
90	Smirnoff	4050
91	Ralph Lauren	4038
92	Heineken	3939
93	BlackBerry	3922
94	Mastercard	3896
95	Credit Suisse	3866
96	Harley Davidson	3857
97	Yahoo!	3851
98	Moet & Chandon	3824
99	Ferrari	3770
100	Gap	3731
